Targetsegment,Processorbranding and model,Processorbranding and model,Cores(threads),CPU clock rate,CPU clock rate,Graphics clock rate,Graphics clock rate,L3Cache,TDP,Releasedate (Y-M-D),Price(USD),Motherboard,Motherboard,Motherboard
Targetsegment,Processorbranding and model,Processorbranding and model.1,Cores(threads),Normal,Turbo,Normal,Turbo,L3Cache,TDP,Releasedate (Y-M-D),Price(USD),Socket,Interface,Memory
Extreme / High-End,Core i7Extreme,3970X,6 (12),3.5 GHz,4.0 GHz,,,15 MB,150 W,2012-11-12,$999,LGA2011,DMI 2.0PCIe 2.0[24],Up to quadchannelDDR3-1600[25]
Extreme / High-End,Core i7Extreme,3960X,6 (12),3.3 GHz,3.9 GHz,,,15 MB,130 W,2011-11-14,$999,LGA2011,DMI 2.0PCIe 2.0[24],Up to quadchannelDDR3-1600[25]
Extreme / High-End,Core i7,3930K,6 (12),3.2 GHz,3.8 GHz,,,12 MB,130 W,2011-11-14,$583,LGA2011,DMI 2.0PCIe 2.0[24],Up to quadchannelDDR3-1600[25]
Extreme / High-End,Core i7,3820,4 (8),3.6 GHz,3.8 GHz,,,10 MB,130 W,2012-02-13[26],$294,LGA2011,DMI 2.0PCIe 2.0[24],Up to quadchannelDDR3-1600[25]
Performance,Core i7,2700K,4 (8),3.5 GHz,3.9 GHz,850 MHz,1350 MHz,8 MB,95 W,2011-10-24,$332,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Performance,Core i7,2600K,4 (8),3.4 GHz,3.8 GHz,850 MHz,1350 MHz,8 MB,95 W,2011-01-09,$317,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Performance,Core i7,2600,4 (8),3.4 GHz,3.8 GHz,850 MHz,1350 MHz,8 MB,95 W,2011-01-09,$294,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Performance,Core i7,2600S,4 (8),2.8 GHz,3.8 GHz,850 MHz,1350 MHz,8 MB,65 W,2011-01-09,$306,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Performance,Core i5,2550K,4 (4),3.4 GHz,3.8 GHz,,,6 MB,95 W,2012-01-30,$225,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
