Processorbranding and model,Processorbranding and model,Cores(threads),CPU clock rate,CPU clock rate,Graphics clock rate,Graphics clock rate,L3cache,TDP,Releasedate,Releaseprice(USD),Motherboard,Motherboard,Motherboard
Processorbranding and model,Processorbranding and model.1,Cores(threads),Normal,Turbo,Normal,Turbo,L3cache,TDP,Releasedate,Releaseprice(USD),Socket,Interface,Memory
Core i7Extreme,4960X,6 (12),3.6 GHz,4.0 GHz,,,15 MB,130 W,2013-09-10,$999[53],LGA2011,DMI 2.0PCIe 3.0[a],Up to quadchannelDDR3-1866
Core i7,4930K,6 (12),3.4 GHz,3.9 GHz,,,12 MB,130 W,2013-09-10,$583[53],LGA2011,DMI 2.0PCIe 3.0[a],Up to quadchannelDDR3-1866
Core i7,4820K,4 (8),3.7 GHz,3.9 GHz,,,10 MB,130 W,2013-09-10,$323[53],LGA2011,DMI 2.0PCIe 3.0[a],Up to quadchannelDDR3-1866
Core i7,3770K,4 (8),3.5 GHz,3.9 GHz,650 MHz,1150 MHz,8 MB,77 W,2012-04-23,$332,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i7,3770,4 (8),3.4 GHz,3.9 GHz,650 MHz,1150 MHz,8 MB,77 W,2012-04-23,$294,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i7,3770S,4 (8),3.1 GHz,3.9 GHz,650 MHz,1150 MHz,8 MB,65 W,2012-04-23,$294,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i7,3770T,4 (8),2.5 GHz,3.7 GHz,650 MHz,1150 MHz,8 MB,45 W,2012-04-23,$294,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3570K,4 (4),3.4 GHz,3.8 GHz,650 MHz,1150 MHz,6 MB,77 W,2012-04-23,$225,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3570,4 (4),3.4 GHz,3.8 GHz,650 MHz,1150 MHz,6 MB,77 W,2012-05-31[55],$205,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3570S,4 (4),3.1 GHz,3.8 GHz,650 MHz,1150 MHz,6 MB,65 W,2012-05-31[55],$205,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3570T,4 (4),2.3 GHz,3.3 GHz,650 MHz,1150 MHz,6 MB,45 W,2012-05-31[55],$205,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3550,4 (4),3.3 GHz,3.7 GHz,650 MHz,1150 MHz,6 MB,77 W,2012-04-23,$205,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3550S,4 (4),3.0 GHz,3.7 GHz,650 MHz,1150 MHz,6 MB,65 W,2012-04-23,$205,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3475S,4 (4),2.9 GHz,3.6 GHz,650 MHz,1100 MHz,6 MB,65 W,2012-05-31[55],$201,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3470,4 (4),3.2 GHz,3.6 GHz,650 MHz,1100 MHz,6 MB,77 W,2012-05-31[55],$184,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3470S,4 (4),2.9 GHz,3.6 GHz,650 MHz,1100 MHz,6 MB,65 W,2012-05-31[55],$184,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3470T,2 (4),2.9 GHz,3.6 GHz,650 MHz,1100 MHz,3 MB,35 W,2012-05-31[55],$184,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3450,4 (4),3.1 GHz,3.5 GHz,650 MHz,1100 MHz,6 MB,77 W,2012-04-23,$184,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3450S,4 (4),2.8 GHz,3.5 GHz,650 MHz,1100 MHz,6 MB,65 W,2012-04-23,$184,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
Core i5,3350P,4 (4),3.1 GHz,3.3 GHz,,,6 MB,69 W,2012-09-03,$177,LGA1155,DMI 2.0PCIe 3.0[a],Up to dualchannelDDR3-1600[54]
