Processorbranding,Model,Cores(threads),CPUclock rate,Turbo clock GHz Num of cores,Turbo clock GHz Num of cores,Turbo clock GHz Num of cores,GPU,Max GPUclock rate,L3cache,TDP,Socket,Price(USD)
Processorbranding,Model,Cores(threads),CPUclock rate,1,2,4,GPU,Max GPUclock rate,L3cache,TDP,Socket,Price(USD)
Core i7,7740X,4 (8),4.3 GHz,4.5,4.5,4.5,,,8 MB,112 W,LGA 2066,$350
Core i7,7700K,4 (8),4.2 GHz,4.5,4.4,4.4,HD 630,1150 MHz,8 MB,91 W,LGA 1151,$350
Core i7,7700,4 (8),3.6 GHz,4.2,4.1,4.0,HD 630,1150 MHz,8 MB,65 W,LGA 1151,$312
Core i7,7700T,4 (8),2.9 GHz,3.8,3.7,3.6,HD 630,1150 MHz,8 MB,35 W,LGA 1151,$312
Core i5,7640X,4 (4),4.0 GHz,4.2,4.2,4.0,,,6 MB,112 W,LGA 2066,$250
Core i5,7600K,4 (4),3.8 GHz,4.2,4.1,4.0,HD 630,1150 MHz,6 MB,91 W,LGA 1151,$250
Core i5,7600,4 (4),3.5 GHz,4.1,4.0,3.9,HD 630,1150 MHz,6 MB,65 W,LGA 1151,$224
Core i5,7600T,4 (4),2.8 GHz,3.7,3.6,3.5,HD 630,1100 MHz,6 MB,35 W,LGA 1151,$224
Core i5,7500,4 (4),3.4 GHz,3.8,3.7,3.6,HD 630,1100 MHz,6 MB,65 W,LGA 1151,$202
Core i5,7500T,4 (4),2.7 GHz,3.3,3.2,3.1,HD 630,1100 MHz,6 MB,35 W,LGA 1151,$202
Core i5,7400,4 (4),3.0 GHz,3.5,3.4,3.3,HD 630,1000 MHz,6 MB,65 W,LGA 1151,$182
Core i5,7400T,4 (4),2.4 GHz,3.0,2.9,2.7,HD 630,1000 MHz,6 MB,35 W,LGA 1151,$187
Core i3,7350K,2 (4),4.2 GHz,,,,HD 630,1150 MHz,4 MB,60 W,LGA 1151,$179
Core i3,7320,2 (4),4.1 GHz,,,,HD 630,1150 MHz,4 MB,51 W,LGA 1151,$157
Core i3,7300,2 (4),4.0 GHz,,,,HD 630,1150 MHz,4 MB,51 W,LGA 1151,$147
Core i3,7300T,2 (4),3.5 GHz,,,,HD 630,1100 MHz,4 MB,35 W,LGA 1151,$147
Core i3,7100,2 (4),3.9 GHz,,,,HD 630,1100 MHz,3 MB,51 W,LGA 1151,$117
Core i3,7100T,2 (4),3.4 GHz,,,,HD 630,1100 MHz,3 MB,35 W,LGA 1151,$117
Core i3,7101E,2 (4),3.9 GHz,,,,HD 630,1100 MHz,3 MB,54 W,LGA 1151,$117
Core i3,7101TE,2 (4),3.4 GHz,,,,HD 630,1100 MHz,3 MB,35 W,LGA 1151,$117
Pentium,G4620,2 (4),3.7 GHz,,,,HD 630,1100 MHz,3 MB,51 W,LGA 1151,$93
Pentium,G4600,2 (4),3.6 GHz,,,,HD 630,1100 MHz,3 MB,51 W,LGA 1151,$82
Pentium,G4600T,2 (4),3.0 GHz,,,,HD 630,1050 MHz,3 MB,35 W,LGA 1151,$75
Pentium,G4560,2 (4),3.5 GHz,,,,HD 610,1050 MHz,3 MB,54 W,LGA 1151,$64
Pentium,G4560T,2 (4),2.9 GHz,,,,HD 610,1050 MHz,3 MB,35 W,LGA 1151,$64
Celeron,G3950,2 (2),3.0 GHz,,,,HD 610,1050 MHz,2 MB,51 W,LGA 1151,$52
Celeron,G3930,2 (2),2.9 GHz,,,,HD 610,1050 MHz,2 MB,51 W,LGA 1151,$42
Celeron,G3930T,2 (2),2.7 GHz,,,,HD 610,1000 MHz,2 MB,35 W,LGA 1151,$42
