Processorbranding,Model,Cores (Threads),Base CPUclock rate,Turbo clock rate[29] [GHz],Turbo clock rate[29] [GHz],Turbo clock rate[29] [GHz],Turbo clock rate[29] [GHz],Turbo clock rate[29] [GHz],Turbo clock rate[29] [GHz],Turbo clock rate[29] [GHz],Turbo clock rate[29] [GHz],GPU,max GPUclock rate,Smartcache,TDP,Memory support,Release price
Processorbranding,Model,Cores (Threads),Base CPUclock rate,Number of cores used,Number of cores used,Number of cores used,Number of cores used,Number of cores used,Number of cores used,Number of cores used,Number of cores used,GPU,max GPUclock rate,Smartcache,TDP,Memory support,Release price
Processorbranding,Model,Cores (Threads),Base CPUclock rate,1,2,3,4,5,6,7,8,GPU,max GPUclock rate,Smartcache,TDP,Memory support,Release price
Core i9,9900KS,8 (16),4.0 GHz,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,UHD 630,1.20 GHz,16 MiB,127 W,DDR4-2666 2-channel up to 128 GiB,$513
Core i9,9900K,8 (16),3.6 GHz,5.0,5.0,4.9,4.8,4.8,4.7,4.7,4.7,UHD 630,1.20 GHz,16 MiB,95* W,DDR4-2666 2-channel up to 128 GiB,$488
Core i9,9900KF,8 (16),3.6 GHz,5.0,5.0,4.9,4.8,4.8,4.7,4.7,4.7,,,16 MiB,95* W,DDR4-2666 2-channel up to 128 GiB,$488
Core i9,9900,8 (16),3.1 GHz,5.0,5.0,4.9,4.8,4.8,4.7,4.7,4.6,UHD 630,1.20 GHz,16 MiB,65 W,DDR4-2666 2-channel up to 128 GiB,$423
Core i9,9900T,8 (16),2.1 GHz,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.6,UHD 630,1.20 GHz,16 MiB,35 W,DDR4-2666 2-channel up to 128 GiB,$423
Core i7,9700K,8 (8),3.6 GHz,4.9,4.8,4.7,4.7,4.6,4.6,4.6,4.6,UHD 630,1.20 GHz,12 MiB,95 W,DDR4-2666 2-channel up to 128 GiB,$374
Core i7,9700KF,8 (8),3.6 GHz,4.9,4.8,4.7,4.7,4.6,4.6,4.6,4.6,,,12 MiB,95 W,DDR4-2666 2-channel up to 128 GiB,$374
Core i7,9700,8 (8),3.0 GHz,4.7,,,,,,,,UHD 630,1.20 GHz,12 MiB,65 W,DDR4-2666 2-channel up to 128 GiB,$323
Core i7,9700F,8 (8),3.0 GHz,4.7,,,,,,,,,,12 MiB,65 W,DDR4-2666 2-channel up to 128 GiB,$323
Core i7,9700T,8 (8),2.0 GHz,4.3,,,,,,,,UHD 630,1.20 GHz,12 MiB,35 W,DDR4-2666 2-channel up to 128 GiB,$323
Core i5,9600K,6 (6),3.7 GHz,4.6,4.5,4.4,4.4,4.3,4.3,,,UHD 630,1.15 GHz,9 MiB,95 W,DDR4-2666 2-channel up to 128 GiB,$262
Core i5,9600KF,6 (6),3.7 GHz,4.6,4.5,4.4,4.4,4.3,4.3,,,,,9 MiB,95 W,DDR4-2666 2-channel up to 128 GiB,$262
Core i5,9600,6 (6),3.1 GHz,4.6,,,,,,,,UHD 630,1.15 GHz,9 MiB,65 W,DDR4-2666 2-channel up to 128 GiB,$213
Core i5,9600T,6 (6),2.3 GHz,3.9,,,,,,,,UHD 630,1.15 GHz,9 MiB,35 W,DDR4-2666 2-channel up to 128 GiB,$213
Core i5,9500,6 (6),3.0 GHz,4.4,,,,,,,,UHD 630,1.10 GHz,9 MiB,65 W,DDR4-2666 2-channel up to 128 GiB,$192
Core i5,9500F,6 (6),3.0 GHz,4.4,,,,,,,,,,9 MiB,65 W,DDR4-2666 2-channel up to 128 GiB,$192
