processorbranding,model,cores(threads),baseclockrate,turboclockrate,maxgpuclockrate,l3,tdp,releasedate,price(usd),socket,memorysupport
Core i7Extreme,3970X,6 (12),3.5 GHz,4.0 GHz,,15 MB,150 W,11/12/2012,$999 ,LGA2011,Up to quadchannelDDR3-1600[25]
Core i7Extreme,3960X,6 (12),3.3 GHz,3.9 GHz,,15 MB,130 W,11/14/2011,$999 ,LGA2011,Up to quadchannelDDR3-1600[25]
Core i7,3930K,6 (12),3.2 GHz,3.8 GHz,,12 MB,130 W,11/14/2011,$583 ,LGA2011,Up to quadchannelDDR3-1600[25]
Core i7,3820,4 (8),3.6 GHz,3.8 GHz,,10 MB,130 W,2012-02-13[26],$294 ,LGA2011,Up to quadchannelDDR3-1600[25]
Core i7,2700K,4 (8),3.5 GHz,3.9 GHz,1350 MHz,8 MB,95 W,10/24/2011,$332 ,LGA1155,Up to dualchannelDDR3-1333
Core i7,2600K,4 (8),3.4 GHz,3.8 GHz,1350 MHz,8 MB,95 W,1/9/2011,$317 ,LGA1155,Up to dualchannelDDR3-1333
Core i7,2600,4 (8),3.4 GHz,3.8 GHz,1350 MHz,8 MB,95 W,1/9/2011,$294 ,LGA1155,Up to dualchannelDDR3-1333
Core i7,2600S,4 (8),2.8 GHz,3.8 GHz,1350 MHz,8 MB,65 W,1/9/2011,$306 ,LGA1155,Up to dualchannelDDR3-1333
Core i5,2550K,4 (4),3.4 GHz,3.8 GHz,,6 MB,95 W,1/30/2012,$225 ,LGA1155,Up to dualchannelDDR3-1333
Core i5,2500K,4 (4),3.3 GHz,3.7 GHz,1100 MHz,6 MB,95 W,1/9/2011,$216 ,LGA1155,Up to dualchannelDDR3-1333
Core i5,2500,4 (4),3.3 GHz,3.7 GHz,1100 MHz,6 MB,95 W,1/9/2011,$205 ,LGA1155,Up to dualchannelDDR3-1333
Core i5,2500S,4 (4),2.7 GHz,3.7 GHz,1100 MHz,6 MB,65 W,1/9/2011,$216 ,LGA1155,Up to dualchannelDDR3-1333
Core i5,2500T,4 (4),2.3 GHz,3.3 GHz,1250 MHz,6 MB,45 W,1/9/2011,$216 ,LGA1155,Up to dualchannelDDR3-1333
Core i5,2450P,4 (4),3.2 GHz,3.5 GHz,,6 MB,95 W,1/30/2012,$195 ,LGA1155,Up to dualchannelDDR3-1333
Core i5,2400,4 (4),3.1 GHz,3.4 GHz,1100 MHz,6 MB,95 W,1/9/2011,$184 ,LGA1155,Up to dualchannelDDR3-1333
Core i5,2405S,4 (4),2.5 GHz,3.3 GHz,1100 MHz,6 MB,65 W,5/22/2011,$205 ,LGA1155,Up to dualchannelDDR3-1333
