cores(threads),processorbranding,model,gpu,baseclockrate,turboclockrate,maxgpuclockrate,l3,l4,tdp,releasedate,price(usd),socket,memorysupport
8 (16),Core i7Extreme,5960X,,3.0 GHz,3.5 GHz,,20 MB,,140 W,"August 29, 2014[86]",$999 ,LGA 2011-v3,Up to quadchannelDDR4-2133
6 (12),Core i7Extreme,5930K,,3.5 GHz,3.7 GHz,,15 MB,,140 W,"August 29, 2014[86]",$583 ,LGA 2011-v3,Up to quadchannelDDR4-2133
6 (12),Core i7Extreme,5820K,,3.3 GHz,3.6 GHz,,15 MB,,140 W,"August 29, 2014[86]",$389 ,LGA 2011-v3,Up to quadchannelDDR4-2133
4 (8),Core i7,4790K,HD 4600 (GT2),4.0 GHz,4.4 GHz,1.25 GHz,8 MB,,88 W,"June 2, 2014",$339 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4790,HD 4600 (GT2),3.6 GHz,4.0 GHz,1.2 GHz,8 MB,,84 W,"May 11, 2014",$303 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4790S,HD 4600 (GT2),3.2 GHz,4.0 GHz,1.2 GHz,8 MB,,65 W,"May 11, 2014",$303 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4790T,HD 4600 (GT2),2.7 GHz,3.9 GHz,1.2 GHz,8 MB,,45 W,"May 11, 2014",$303 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4785T,HD 4600 (GT2),2.2 GHz,3.2 GHz,1.2 GHz,8 MB,,35 W,"May 11, 2014",$303 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4771,HD 4600 (GT2),3.5 GHz,3.9 GHz,1.2 GHz,8 MB,,84 W,"September 1, 2013",$320 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4770K,HD 4600 (GT2),3.5 GHz,3.9 GHz,1.25 GHz,8 MB,,84 W,"June 2, 2013[89]",$339 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4770,HD 4600 (GT2),3.4 GHz,3.9 GHz,1.2 GHz,8 MB,,84 W,"June 2, 2013[89]",$303 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4770S,HD 4600 (GT2),3.1 GHz,3.9 GHz,1.2 GHz,8 MB,,65 W,"June 2, 2013[89]",$303 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4770R,Iris Pro 5200 (GT3e),3.2 GHz,3.9 GHz,1.3 GHz,6 MB,128 MB,65 W,"June 2, 2013[89]",$392 ,BGA1364,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4770T,HD 4600 (GT2),2.5 GHz,3.7 GHz,1.2 GHz,8 MB,,45 W,"June 2, 2013[89]",$303 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4770TE,HD 4600 (GT2),2.3 GHz,3.3 GHz,1 GHz,8 MB,,45 W,"June 2, 2013[89]",$303 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (8),Core i7,4765T,HD 4600 (GT2),2.0 GHz,3.0 GHz,1.2 GHz,8 MB,,35 W,"June 2, 2013[89]",$303 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4690K,HD 4600 (GT2),3.5 GHz,3.9 GHz,1.2 GHz,6 MB,,88 W,"June 2, 2014",$242 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4690,HD 4600 (GT2),3.5 GHz,3.9 GHz,1.2 GHz,6 MB,,84 W,"May 11, 2014",$213 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4690S,HD 4600 (GT2),3.2 GHz,3.9 GHz,1.2 GHz,6 MB,,65 W,"May 11, 2014",$213 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4690T,HD 4600 (GT2),2.5 GHz,3.5 GHz,1.2 GHz,6 MB,,45 W,"May 11, 2014",$213 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4670K,HD 4600 (GT2),3.4 GHz,3.8 GHz,1.2 GHz,6 MB,,84 W,"June 2, 2013",$242 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4670,HD 4600 (GT2),3.4 GHz,3.8 GHz,1.2 GHz,6 MB,,84 W,"June 2, 2013",$213 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4670S,HD 4600 (GT2),3.1 GHz,3.8 GHz,1.2 GHz,6 MB,,65 W,"June 2, 2013",$213 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4670R,Iris Pro 5200 (GT3e),3.0 GHz,3.7 GHz,1.3 GHz,4 MB,128 MB,65 W,"June 2, 2013",$310 ,BGA1364,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4670T,HD 4600 (GT2),2.3 GHz,3.3 GHz,1.2 GHz,6 MB,,45 W,"June 2, 2013",$213 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4590,HD 4600 (GT2),3.3 GHz,3.7 GHz,1.15 GHz,6 MB,,84 W,"May 11, 2014",$192 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4590S,HD 4600 (GT2),3.0 GHz,3.7 GHz,1.15 GHz,6 MB,,65 W,"May 11, 2014",$192 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4590T,HD 4600 (GT2),2.0 GHz,3.0 GHz,1.15 GHz,6 MB,,35 W,"May 11, 2014",$192 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4570,HD 4600 (GT2),3.2 GHz,3.6 GHz,1.15 GHz,6 MB,,84 W,"June 2, 2013",$192 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4570S,HD 4600 (GT2),2.9 GHz,3.6 GHz,1.15 GHz,6 MB,,65 W,"June 2, 2013",$192 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4570R,Iris Pro 5200 (GT3e),2.7 GHz,3.2 GHz,1.15 GHz,4 MB,128 MB,65 W,"June 2, 2013",$288 ,BGA1364,Up to dualchannelDDR3-1600[88]
2 (4),Core i5,4570T,HD 4600 (GT2),2.9 GHz,3.6 GHz,1.15 GHz,4 MB,,35 W,"June 2, 2013",$192 ,LGA1150,Up to dualchannelDDR3-1600[88]
2 (4),Core i5,4570TE,HD 4600 (GT2),2.7 GHz,3.3 GHz,1 GHz,4 MB,,35 W,"June 2, 2013",$192 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4460,HD 4600 (GT2),3.2 GHz,3.4 GHz,1.1 GHz,6 MB,,84 W,"May 11, 2014",$182 ,LGA1150,Up to dualchannelDDR3-1600[88]
4 (4),Core i5,4460S,HD 4600 (GT2),2.9 GHz,3.4 GHz,1.1 GHz,6 MB,,65 W,"May 11, 2014",$182 ,LGA1150,Up to dualchannelDDR3-1600[88]
