processorbranding,model,cores(threads),baseclockrate,turbo1core,turbo2core,turbo3core,turbo4core,turbo5core,turbo6core,gpu,maxgpuclockrate,l3,tdp,memorysupport,price(usd)
Core i7,8086K,6 (12),4.0 GHz,5,4.6,4.5,4.4,4.4,4.3,UHD630,1.20 GHz,12 MiB,95 W *,Up to 128 GiB DDR4-2666,$425 
Core i7,8700K,6 (12),3.7 GHz,4.7,4.6,4.5,4.4,4.4,4.3,UHD630,1.20 GHz,12 MiB,95 W *,Up to 128 GiB DDR4-2666,$359 
Core i7,8700,6 (12),3.2 GHz,4.6,4.5,4.4,4.3,4.3,4.3,UHD630,1.20 GHz,12 MiB,65 W,Up to 128 GiB DDR4-2666,$303 
Core i7,8700T,6 (12),2.4 GHz,4,4.0[22],3.9,3.9,3.8,3.8,UHD630,1.20 GHz,12 MiB,35 W,Up to 128 GiB DDR4-2666,$303 
Core i5,8600K,6 (6),3.6 GHz,4.3,4.2,4.2,4.2,4.1,4.1,UHD630,1.15 GHz,9 MiB,95 W,Up to 128 GiB DDR4-2666,$257 
Core i5,8600,6 (6),3.1 GHz,4.3,4.2,4.2,4.2,4.1,4.1,UHD630,1.15 GHz,9 MiB,65 W,Up to 128 GiB DDR4-2666,$213 
Core i5,8600T,6 (6),2.3 GHz,3.7,3.6,3.6,3.6,3.5,3.5,UHD630,1.15 GHz,9 MiB,35 W,Up to 128 GiB DDR4-2666,$213 
Core i5,8500,6 (6),3.0 GHz,4.1,4,4,4,3.9,3.9,UHD630,1.10 GHz,9 MiB,65 W,Up to 128 GiB DDR4-2666,$192 
Core i5,8500T,6 (6),2.1 GHz,3.5,3.4,3.3,3.3,3.2,3.2,UHD630,1.10 GHz,9 MiB,35 W,Up to 128 GiB DDR4-2666,$192 
Core i5,8400,6 (6),2.8 GHz,4,3.9,3.9,3.9,3.8,3.8,UHD630,1.05 GHz,9 MiB,65 W,Up to 128 GiB DDR4-2666,$182 
Core i5,8400T,6 (6),1.7 GHz,3.3,3.2,3.1,3.1,3,3,UHD630,1.05 GHz,9 MiB,35 W,Up to 128 GiB DDR4-2666,$182 
Core i3,8350K,4 (4),4.0 GHz,,,,,,,UHD630,1.15 GHz,8 MiB,91 W,Up to 64 GiB DDR4-2400,$168 
Core i3,8300,4 (4),3.7 GHz,,,,,,,UHD630,1.15 GHz,8 MiB,62 W,Up to 64 GiB DDR4-2400,$138 
Core i3,8300T,4 (4),3.2 GHz,,,,,,,UHD630,1.15 GHz,8 MiB,35 W,Up to 64 GiB DDR4-2400,$138 
Core i3,8100,4 (4),3.6 GHz,,,,,,,UHD630,1.10 GHz,6 MiB,65 W,Up to 64 GiB DDR4-2400,$117 
Core i3,8100F,4 (4),3.6 GHz,,,,,,,,,6 MiB,65 W,Up to 64 GiB DDR4-2400,$117 
Core i3,8100T,4 (4),3.1 GHz,,,,,,,UHD630,1.10 GHz,6 MiB,35 W,Up to 64 GiB DDR4-2400,$117 
Pentium Gold,G5600,2 (4),3.9 GHz,,,,,,,UHD630,1.10 GHz,4 MiB,54 W,Up to 64 GiB DDR4-2400,$86 
Pentium Gold,G5500,2 (4),3.8 GHz,,,,,,,UHD630,1.10 GHz,4 MiB,54 W,Up to 64 GiB DDR4-2400,$75 
Pentium Gold,G5500T,2 (4),3.2 GHz,,,,,,,UHD630,1.10 GHz,4 MiB,35 W,Up to 64 GiB DDR4-2400,$75 
Pentium Gold,G5400,2 (4),3.7 GHz,,,,,,,UHD610,1.05 GHz,4 MiB,54 W,Up to 64 GiB DDR4-2400,$64 
Pentium Gold,G5400T,2 (4),3.1 GHz,,,,,,,UHD610,1.05 GHz,4 MiB,35 W,Up to 64 GiB DDR4-2400,$64 
Celeron,G4930,2 (2),3.2 GHz,,,,,,,UHD610,1.05 GHz,2 MiB,54W,Up to 64 GiB DDR4-2400,$42 
Celeron,G4920,2 (2),3.2 GHz,,,,,,,UHD610,1.05 GHz,2 MiB,54W,Up to 64 GiB DDR4-2400,$52 
Celeron,G4900,2 (2),3.1 GHz,,,,,,,UHD610,1.05 GHz,2 MiB,54W,Up to 64 GiB DDR4-2400,$42 
Celeron,G4900T,2 (2),2.9 GHz,,,,,,,UHD610,1.05 GHz,2 MiB,35 W,Up to 64 GiB DDR4-2400,$42 
